# Time-averaged data for fix calcRDF
# TimeStep Number-of-rows
# Row c_myRDF[1] c_myRDF[2] c_myRDF[3]
50000 100
100 3.98 0.994971 110.875
500000 100
1 0.02 0 0
2 0.06 0 0
3 0.1 0 0
4 0.14 0 0
5 0.18 0 0
6 0.22 0 0
7 0.26 0 0
8 0.3 0 0
9 0.34 0 0
10 0.38 0 0
11 0.42 0 0
12 0.46 0 0
13 0.5 0 0
14 0.54 0 0
15 0.58 0 0
16 0.62 0 0
17 0.66 0 0
18 0.7 0 0
19 0.74 0 0
20 0.78 0 0
21 0.82 0 0
22 0.86 0 0
23 0.9 0.00283824 0.00046
24 0.94 0.101586 0.01842
25 0.98 0.647271 0.1428
26 1.02 1.58336 0.4724
27 1.06 2.2886 0.9869
28 1.1 2.55288 1.60494
29 1.14 2.46274 2.2453
30 1.18 2.19509 2.85682
